policy,channel,seed,start,horizon,b_probe,b_payload,metadata_noise,metadata_loss,debt_mode,rmse_mean,loss_mean,missed_violation_pct,metadata_seen_frac_mean,debt_changed_decision_pct,payload_success_pct,payload_fairness_jain,probe_fairness_jain,max_age,avg_age,max_payload_debt,window_id
caw_vou_full,severe_burst,50566,20948,240,4,4,0.0,0.0,bounded,0.0454468228986403,1.182991213389121e-05,0.0,0.1333333333333333,94.14225941422595,71.86192468619247,0.9931064458643011,0.9998862194214684,15.0,7.0,0.10404463040446305,18
caw_vou_full,severe_burst,50566,20948,240,4,4,0.0,0.0,accumulating,0.04649078606554478,1.1950122733612274e-05,0.0,0.1333333333333333,99.16317991631799,71.86192468619247,0.9973329841332187,0.9998862194214684,20.0,7.133333333333334,0.10299860529986053,18
caw_vou_full,severe_burst,50583,22602,240,4,4,0.0,0.0,bounded,0.11804636946230847,7.785382426778249e-05,0.0,0.1333333333333333,93.30543933054393,70.92050209205021,0.9915549190643568,0.9998862194214684,12.0,5.7,0.10509065550906556,19
caw_vou_full,severe_burst,50583,22602,240,4,4,0.0,0.0,accumulating,0.1269862928315088,9.047142677824275e-05,0.0,0.1333333333333333,99.16317991631799,70.92050209205021,0.9977902965194976,0.9998862194214684,18.0,6.2,0.10195258019525802,19
caw_vou_full,severe_burst,50600,23142,240,4,4,0.0,0.0,bounded,0.06335833228542874,0.0025362002859135287,0.04184100418410042,0.1333333333333333,99.581589958159,75.0,0.9624836766502369,0.9834882920110182,13.0,5.766666666666667,0.10822873082287308,20
caw_vou_full,severe_burst,50600,23142,240,4,4,0.0,0.0,accumulating,0.06929127679433117,0.0033812257168758715,0.05578800557880056,0.1333333333333333,100.0,75.0,0.9678654636336669,0.9934950865292623,17.0,6.633333333333334,0.10613668061366806,20
caw_vou_full,severe_burst,50617,23364,240,4,4,0.0,0.0,bounded,0.06530715507071481,2.7207984658298425e-05,0.0,0.1333333333333333,100.0,64.9581589958159,0.9900082325923989,0.9998862194214684,17.0,7.466666666666667,0.10822873082287308,21
caw_vou_full,severe_burst,50617,23364,240,4,4,0.0,0.0,accumulating,0.0744437645186837,3.7087532775453284e-05,0.0,0.1333333333333333,100.0,64.9581589958159,0.9949876978683552,0.9998862194214684,35.0,8.1,0.10404463040446305,21
caw_vou_full,severe_burst,50634,24163,240,4,4,0.0,0.0,bounded,0.024403992407643113,3.305278940027893e-06,0.0,0.1333333333333333,95.81589958158996,66.73640167364016,0.9926534158792212,0.9998862194214684,22.0,7.066666666666666,0.10404463040446305,22
caw_vou_full,severe_burst,50634,24163,240,4,4,0.0,0.0,accumulating,0.025799905615083895,3.6657740585774006e-06,0.0,0.1333333333333333,99.16317991631799,66.73640167364016,0.9979864159514282,0.9998862194214684,21.0,7.133333333333334,0.10299860529986053,22
caw_vou_full,severe_burst,50651,25363,240,4,4,0.0,0.0,bounded,0.17828708856568512,0.00687646054358438,0.11157601115760112,0.1333333333333333,98.74476987447699,68.6192468619247,0.9873131103621111,0.9998862194214684,36.0,9.366666666666667,0.10718270571827057,23
caw_vou_full,severe_burst,50651,25363,240,4,4,0.0,0.0,accumulating,0.18432408709577267,0.006050812955369596,0.09762900976290098,0.1333333333333333,99.16317991631799,68.6192468619247,0.9893009460717445,0.9998862194214684,32.0,8.966666666666667,0.10404463040446305,23
